País,Fecha de estudio,Enfermedad,Categoría,Ratios,Rango edad,Género,Tipo de tratamiento,Coste medio tratamiento (USD),Disponibilidad de vacuna/tratamiento
Nigeria,07/12/2023,Rabia,Genética,9.16;70.31,36 - 60,Masculino,Vacunación,9850,S
EEUU,17/05/2024,Enfermedad de Parkinson,Genética,9.05;55.53,35+,Masculino,Terapia,24706,N
Alemania,05/05/2024,Tuberculosis,Genética,9.03;78.43,61+,Masculino,Cirugía,30272,S
Brasil,06/10/2021,Enfermedad de Alzheimer,Respiratoria,8.96;91.38,18+,Ambos,Terapia,20614,S
Rusia,02/03/2023,Sarampión,Viral,8.7;59.8,0 - 18,Masculino,Terapia,9235,N
Japón,19/05/2023,Enfermedad de Parkinson,Cardiovascular,8.45;95.17,0 - 18,Femenino,Medicación,21377,N
Argentina,10/07/2024,Enfermedad de Parkinson,Genética,8.35;84.17,0 - 18,Femenino,Medicación,21106,N
EEUU,06/08/2021,Enfermedad de Parkinson,Parasitaria,8.29;73.02,19 - 35,Femenino,Cirugía,15440,N
Japón,10/02/2020,Malaria,Metabólica,8.04;93.59,18+,Masculino,Vacunación,7574,S
Sudáfrica,04/06/2023,Poliomielitis,Crónica,8.02;91.18,0 - 18,Masculino,Cirugía,8585,S
Australia,27/09/2021,COVID-19,Bacteriana,7.97;95.78,19 - 35,Femenino,Terapia,48368,S
Argentina,25/05/2024,Enfermedad de Alzheimer,Parasitaria,7.78;61.22,61+,Ambos,Vacunación,14769,S
Brasil,21/02/2021,Enfermedad de Alzheimer,Viral,7.63;68.07,19 - 35,Ambos,Medicación,46325,S
India,19/08/2023,Cáncer,Viral,7.6;68.08,19 - 35,Ambos,Cirugía,40132,S
Brasil,15/09/2021,Gripe,Metabólica,7.58;53.15,19 - 35,Ambos,Cirugía,20737,N
Japón,12/05/2024,Cáncer,Genética,7.4;62.55,36 - 60,Masculino,Medicación,38893,S
México,12/07/2023,Cáncer,Genética,7.25;98.68,0 - 18,Ambos,Terapia,7280,N
Italia,09/11/2023,VIH/SIDA,Neurológica,7.19;81.8,19 - 35,Femenino,Cirugía,14014,S
China,10/05/2022,Sarampión,Neurológica,7.14;89.02,0 - 18,Masculino,Medicación,25068,S
Turquía,09/09/2024,Ébola,Cardiovascular,7.1;70.61,61+,Masculino,Medicación,47696,S
Rusia,27/01/2023,COVID-19,Respiratoria,6.78;90.15,0 - 18,Femenino,Vacunación,41955,N
Australia,11/04/2024,Lepra,Viral,6.73;83.16,61+,Femenino,Medicación,47789,N
Alemania,25/09/2024,Lepra,Respiratoria,6.69;68.8,61+,Ambos,Terapia,35395,N
Italia,15/08/2024,Sarampión,Metabólica,6.47;94.81,61+,Femenino,Terapia,21443,N
Arabia Saudita,25/08/2021,Rabia,Viral,6.33;55.36,0 - 18,Ambos,Vacunación,1534,N
Australia,11/11/2024,Hipertensión,Genética,6.32;51.35,19 - 35,Ambos,Terapia,12535,N
Indonesia,12/01/2021,Malaria,Bacteriana,6.26;97.68,19 - 35,Masculino,Medicación,25665,S
Japón,12/06/2023,Sarampión,Crónica,6.24;83.98,36 - 60,Masculino,Terapia,35832,N
Brasil,21/10/2024,Lepra,Neurológica,6.2;55.32,0 - 18,Femenino,Medicación,26671,S
Arabia Saudita,27/01/2020,COVID-19,Bacteriana,6.17;90,61+,Femenino,Vacunación,32144,S
Italia,21/01/2023,Poliomielitis,Crónica,6.15;77.6,0 - 18,Masculino,Terapia,824,S
México,20/08/2021,Poliomielitis,Viral,5.84;79.31,18+,Femenino,Medicación,7311,N
India,02/05/2023,Malaria,Genética,5.83;67.51,19 - 35,Femenino,Cirugía,9500,S
Canadá,12/06/2023,Diabetes,Respiratoria,5.78;58.27,61+,Masculino,Cirugía,31780,N
Italia,25/07/2021,VIH/SIDA,Metabólica,5.68;74.78,0 - 18,Femenino,Cirugía,22826,S
Reino Unido,19/01/2022,COVID-19,Neurológica,5.65;94.13,0 - 18,Ambos,Terapia,32204,S
Korea del Sur,02/10/2023,Diabetes,Infecciosa,5.54;74.65,0 - 18,Masculino,Medicación,34118,N
Korea del Sur,17/08/2024,Gripe,Parasitaria,5.38;53.28,36 - 60,Ambos,Medicación,35101,S
Reino Unido,13/12/2021,Sarampión,Crónica,5.22;95.33,61+,Femenino,Medicación,12997,S
Japón,28/08/2023,Hipertensión,Infecciosa,5.17;95.31,0 - 18,Masculino,Terapia,14452,N
Rusia,02/11/2022,COVID-19,Infecciosa,5.15;77.41,36 - 60,Masculino,Terapia,31231,N
India,01/03/2022,Poliomielitis,Genética,5.04;77.26,61+,Masculino,Medicación,22356,N
Argentina,12/11/2024,Enfermedad de Alzheimer,Metabólica,4.83;68.92,18+,Femenino,Vacunación,49425,N
India,21/03/2024,Poliomielitis,Metabólica,4.81;82.58,36 - 60,Ambos,Vacunación,20271,N
Canadá,04/05/2023,Gripe,Genética,4.78;56.8,61+,Masculino,Medicación,45973,S
Japón,16/12/2023,Rabia,Respiratoria,4.64;57.77,19 - 35,Femenino,Terapia,44487,N
Arabia Saudita,31/05/2020,Cáncer,Parasitaria,4.58;65,61+,Masculino,Medicación,9985,N
Japón,02/04/2020,Diabetes,Respiratoria,4.53;79.94,61+,Ambos,Cirugía,38769,N
Brasil,30/08/2024,Sarampión,Metabólica,4.28;90.69,0 - 18,Masculino,Cirugía,20985,N
Reino Unido,05/06/2020,Enfermedad de Alzheimer,Bacteriana,4.26;74.49,19 - 35,Femenino,Terapia,43783,S
Turquía,05/06/2020,Asma,Crónica,4.19;86.66,19 - 35,Masculino,Vacunación,24044,N
Rusia,15/11/2021,Cáncer,Parasitaria,4.11;71.7,0 - 18,Masculino,Terapia,31323,N
Francia,07/12/2024,Asma,Metabólica,4.01;68.79,35+,Masculino,Medicación,35508,S
México,01/05/2024,Enfermedad de Alzheimer,Bacteriana,3.94;89.2,18+,Masculino,Vacunación,3776,S
Arabia Saudita,26/05/2021,Enfermedad de Parkinson,Genética,3.83;55.92,0 - 18,Ambos,Medicación,28397,S
China,22/07/2023,Ébola,Neurológica,3.71;70.25,36 - 60,Femenino,Vacunación,30248,S
Australia,07/02/2023,COVID-19,Bacteriana,3.66;90.79,61+,Masculino,Vacunación,19223,N
Arabia Saudita,21/08/2023,Cólera,Metabólica,3.63;73.23,0 - 18,Ambos,Cirugía,14654,S
Brasil,26/11/2021,Cólera,Crónica,3.58;74.96,18+,Masculino,Cirugía,22201,S
Alemania,01/11/2020,Diabetes,Autoinmune,3.49;88.63,0 - 18,Masculino,Terapia,46007,S
Turquía,29/10/2022,Gripe,Infecciosa,3.43;91.69,19 - 35,Femenino,Cirugía,48532,N
EEUU,08/04/2020,Cáncer,Neurológica,3.42;70.36,19 - 35,Femenino,Vacunación,42181,S
Italia,01/05/2023,Zika,Cardiovascular,3.35;93.09,19 - 35,Femenino,Cirugía,17582,S
Alemania,29/11/2023,VIH/SIDA,Parasitaria,3.33;50.33,19 - 35,Femenino,Cirugía,5760,S
Korea del Sur,19/10/2023,Zika,Parasitaria,3.22;55.83,0 - 18,Masculino,Terapia,8008,N
Alemania,30/11/2020,Sarampión,Parasitaria,2.91;54.2,36 - 60,Ambos,Vacunación,47731,S
Canadá,20/04/2023,Cólera,Genética,2.89;98.91,36 - 60,Femenino,Cirugía,41578,S
Sudáfrica,13/01/2024,Diabetes,Neurológica,2.84;71.12,61+,Masculino,Cirugía,48403,N
Canadá,30/07/2020,Lepra,Infecciosa,2.66;85.53,61+,Masculino,Terapia,27963,S
Korea del Sur,18/02/2023,Cólera,Genética,2.56;76.52,0 - 18,Femenino,Medicación,24917,S
EEUU,06/01/2022,Zika,Parasitaria,2.43;66.6,0 - 18,Femenino,Cirugía,32631,N
Turquía,08/05/2023,Hipertensión,Bacteriana,2.2;81.71,0 - 18,Femenino,Cirugía,25632,N
Italia,26/04/2020,Malaria,Parasitaria,10;69.32,0 - 18,Ambos,Terapia,18493,N
China,21/10/2020,Ébola,Autoinmune,1.94;60.78,0 - 18,Ambos,Medicación,45573,N
Canadá,18/07/2024,Diabetes,Cardiovascular,1.92;78.38,19 - 35,Masculino,Vacunación,7412,S
Japón,30/12/2022,Dengue,Genética,1.92;54.03,36 - 60,Masculino,Terapia,20139,S
Korea del Sur,19/01/2021,Enfermedad de Alzheimer,Infecciosa,1.78;97.38,19 - 35,Masculino,Vacunación,21258,N
Reino Unido,01/09/2024,COVID-19,Crónica,1.74;67.72,0 - 18,Masculino,Cirugía,39538,N
EEUU,19/03/2024,Gripe,Crónica,1.67;93.98,19 - 35,Ambos,Medicación,27288,S
Francia,19/05/2021,Malaria,Respiratoria,1.64;95.87,36 - 60,Masculino,Medicación,5349,N
Brasil,24/07/2022,Poliomielitis,Genética,1.54;72.55,0 - 18,Femenino,Terapia,2804,S
Indonesia,06/01/2023,Hepatitis,Metabólica,1.51;84.67,36 - 60,Masculino,Terapia,2027,N
Francia,09/11/2020,Lepra,Cardiovascular,1.51;67.98,19 - 35,Ambos,Terapia,3543,N
Indonesia,25/11/2021,Enfermedad de Parkinson,Neurológica,1.41;69.87,36 - 60,Femenino,Terapia,44741,S
Turquía,18/10/2020,COVID-19,Neurológica,1.41;57.17,61+,Femenino,Cirugía,2539,S
Turquía,26/04/2023,Lepra,Cardiovascular,1.3;74.63,0 - 18,Femenino,Terapia,43949,S
Korea del Sur,09/08/2020,VIH/SIDA,Parasitaria,1.29;58.89,0 - 18,Masculino,Cirugía,5394,S
India,04/02/2022,Sarampión,Infecciosa,1.01;92.23,0 - 18,Ambos,Terapia,5879,S
Italia,16/02/2023,VIH/SIDA,Respiratoria,0.89;73.28,18+,Masculino,Cirugía,21884,S
Argentina,10/02/2024,Diabetes,Genética,0.86;84.07,0 - 18,Femenino,Vacunación,42619,S
Brasil,14/09/2023,Dengue,Cardiovascular,0.83;86.27,35+,Masculino,Vacunación,4834,S
Nigeria,30/05/2023,Poliomielitis,Neurológica,0.62;70.87,36 - 60,Femenino,Cirugía,2862,N
Rusia,09/02/2022,Cáncer,Infecciosa,0.52;88.26,36 - 60,Masculino,Cirugía,35252,S
Rusia,16/03/2020,Dengue,Metabólica,0.39;94.9,0 - 18,Femenino,Terapia,36070,S
Canadá,26/11/2023,Lepra,Viral,0.36;52.05,0 - 18,Masculino,Vacunación,11727,S
Sudáfrica,01/10/2022,Asma,Bacteriana,0.32;63.48,18+,Ambos,Medicación,37764,N
Arabia Saudita,04/02/2024,Hipertensión,Crónica,0.22;74.75,0 - 18,Femenino,Medicación,18036,N
EEUU,27/12/2020,Enfermedad de Parkinson,Autoinmune,0.18;66.9,0 - 18,Masculino,Vacunación,44872,N
Brasil,24/10/2024,Diabetes,Bacteriana,9.56;75.85,0 - 18,Masculino,Terapia,8895,S
Alemania,19/04/2023,Gripe,Viral,9.55;97.85,18+,Ambos,Vacunación,36969,S
Brasil,24/03/2020,Dengue,Cardiovascular,9.31;50.19,18+,Ambos,Vacunación,6985,N
Alemania,08/11/2020,Ébola,Genética,9.08;78.82,0 - 18,Ambos,Cirugía,39000,N
Sudáfrica,15/06/2023,Ébola,Bacteriana,9.06;93.03,0 - 18,Ambos,Vacunación,12581,S
China,13/03/2024,Rabia,Parasitaria,8.99;63.38,0 - 18,Masculino,Medicación,34292,S
Brasil,08/07/2024,VIH/SIDA,Genética,8.83;78.5,36 - 60,Ambos,Medicación,17737,N
Reino Unido,16/01/2022,Poliomielitis,Respiratoria,8.68;74.05,19 - 35,Ambos,Terapia,748,N
Australia,26/05/2021,Diabetes,Crónica,8.64;90.81,36 - 60,Masculino,Vacunación,24801,S
Argentina,26/09/2020,Gripe,Viral,8.61;71.3,36 - 60,Femenino,Cirugía,32391,S
Australia,26/02/2024,Tuberculosis,Viral,8.6;63.53,61+,Femenino,Cirugía,11840,N
Sudáfrica,24/01/2022,Ébola,Crónica,8.53;92.37,36 - 60,Masculino,Terapia,37025,S
Turquía,21/07/2021,Malaria,Parasitaria,8.49;69.6,61+,Femenino,Terapia,42592,N
China,12/04/2021,Enfermedad de Alzheimer,Metabólica,8.36;66.94,36 - 60,Ambos,Medicación,18519,N
Italia,03/02/2021,Dengue,Bacteriana,8.13;68.63,35+,Ambos,Terapia,19701,S
Arabia Saudita,20/03/2020,Lepra,Crónica,8.1;70.33,19 - 35,Ambos,Terapia,19603,N
Nigeria,10/06/2021,Asma,Genética,8.09;94.53,36 - 60,Ambos,Cirugía,12225,N
Indonesia,22/10/2022,VIH/SIDA,Bacteriana,8.07;56.34,61+,Femenino,Medicación,41203,N
EEUU,10/07/2021,Cáncer,Neurológica,8.05;83.08,0 - 18,Femenino,Vacunación,46457,S
India,01/09/2022,Dengue,Autoinmune,8.03;69.59,0 - 18,Femenino,Vacunación,42857,N
Alemania,01/08/2022,Diabetes,Viral,7.91;60.31,19 - 35,Ambos,Medicación,12282,N
India,06/02/2023,Malaria,Bacteriana,7.83;80.87,0 - 18,Ambos,Cirugía,8811,S
Rusia,02/07/2020,Sarampión,Crónica,7.82;76.13,61+,Masculino,Medicación,15271,N
Japón,17/05/2023,Rabia,Viral,7.81;53.94,19 - 35,Masculino,Terapia,12179,S
Japón,08/08/2021,Asma,Viral,7.77;94.66,36 - 60,Ambos,Terapia,30001,S
Canadá,03/03/2020,Poliomielitis,Autoinmune,7.59;90.66,36 - 60,Ambos,Medicación,41212,S
México,12/08/2021,Tuberculosis,Crónica,7.44;56.61,61+,Ambos,Medicación,45222,N
México,28/06/2023,Ébola,Crónica,7.41;82.13,19 - 35,Femenino,Medicación,21410,N
Reino Unido,14/10/2023,Poliomielitis,Cardiovascular,7.2;80.41,0 - 18,Masculino,Medicación,41791,S
Italia,03/08/2022,COVID-19,Infecciosa,6.99;88.65,61+,Femenino,Terapia,35289,N
Alemania,03/04/2024,Cólera,Genética,6.78;68.42,19 - 35,Femenino,Medicación,2067,S
Australia,28/04/2020,Hipertensión,Viral,6.75;95.31,61+,Ambos,Vacunación,28992,N
México,17/09/2023,Enfermedad de Parkinson,Cardiovascular,6.61;65.85,19 - 35,Masculino,Medicación,23974,S
Arabia Saudita,22/10/2023,Sarampión,Cardiovascular,6.43;56.85,19 - 35,Femenino,Cirugía,38412,S
México,17/01/2020,Diabetes,Autoinmune,6.29;50.75,61+,Ambos,Cirugía,10632,S
Brasil,02/12/2023,Zika,Metabólica,6.11;74,61+,Masculino,Cirugía,47320,N
Brasil,20/02/2021,Rabia,Viral,5.78;77.37,61+,Femenino,Vacunación,31054,N
Japón,30/06/2024,Dengue,Cardiovascular,5.75;84.59,36 - 60,Ambos,Terapia,42699,S
Francia,16/02/2024,Cáncer,Genética,5.71;54.24,19 - 35,Femenino,Vacunación,1312,S
Japón,15/02/2024,Asma,Infecciosa,5.62;68.97,0 - 18,Ambos,Terapia,39039,N
Turquía,13/10/2021,Dengue,Crónica,5.47;56.8,19 - 35,Femenino,Cirugía,21272,N
Arabia Saudita,27/02/2023,Tuberculosis,Parasitaria,5.45;64.5,18+,Femenino,Medicación,26670,S
Francia,28/08/2024,COVID-19,Parasitaria,5.19;52.67,36 - 60,Femenino,Cirugía,20680,N
Brasil,04/01/2021,VIH/SIDA,Crónica,4.9;97.33,61+,Femenino,Medicación,32312,N
Arabia Saudita,08/10/2023,Enfermedad de Alzheimer,Bacteriana,4.89;75.12,36 - 60,Masculino,Vacunación,23729,S
Australia,20/09/2020,Enfermedad de Parkinson,Bacteriana,4.88;87.91,35+,Femenino,Terapia,30938,S
Korea del Sur,23/03/2024,Dengue,Respiratoria,4.77;60.47,35+,Masculino,Terapia,39590,N
Indonesia,21/02/2024,Lepra,Neurológica,4.66;65.17,36 - 60,Ambos,Medicación,27682,S
Arabia Saudita,18/05/2020,Lepra,Respiratoria,4.57;82.11,61+,Ambos,Medicación,19985,S
Canadá,29/12/2020,Cáncer,Infecciosa,4.57;61.91,0 - 18,Femenino,Medicación,5342,N
India,20/09/2022,Malaria,Bacteriana,4.36;85.39,19 - 35,Masculino,Medicación,35259,S
Rusia,14/11/2023,Cólera,Respiratoria,4.24;55.21,36 - 60,Masculino,Medicación,27106,N
Indonesia,29/10/2022,Cáncer,Crónica,4.22;70.51,61+,Femenino,Cirugía,9233,S
India,14/04/2022,Hepatitis,Viral,4;62.39,61+,Femenino,Terapia,24386,S
EEUU,02/03/2023,Dengue,Neurológica,3.96;62.23,0 - 18,Masculino,Vacunación,48806,S
Alemania,13/06/2020,Lepra,Neurológica,3.81;94.9,19 - 35,Masculino,Medicación,29919,S
EEUU,12/06/2024,Hipertensión,Infecciosa,3.77;92.29,61+,Masculino,Medicación,41916,N
Francia,19/02/2022,Hepatitis,Bacteriana,3.66;62.51,36 - 60,Femenino,Terapia,22129,N
India,03/08/2020,Rabia,Metabólica,3.65;62.58,19 - 35,Masculino,Terapia,20533,S
Arabia Saudita,02/02/2024,Diabetes,Parasitaria,3.54;82.36,19 - 35,Masculino,Medicación,15753,N
Alemania,09/03/2022,Sarampión,Genética,3.5;82.17,36 - 60,Femenino,Vacunación,19229,S
Rusia,28/09/2022,Sarampión,Metabólica,3.45;79.75,35+,Femenino,Terapia,28299,S
Canadá,03/03/2022,Malaria,Genética,3.38;81.36,19 - 35,Ambos,Vacunación,30672,N
Argentina,08/10/2022,Hipertensión,Autoinmune,3.09;70.07,0 - 18,Masculino,Cirugía,37748,N
Sudáfrica,02/03/2020,VIH/SIDA,Autoinmune,3.04;75.56,19 - 35,Masculino,Vacunación,11668,S
Nigeria,17/07/2024,VIH/SIDA,Neurológica,2.79;79.8,19 - 35,Ambos,Vacunación,38550,N
Australia,28/07/2020,Lepra,Genética,2.79;71.47,61+,Masculino,Terapia,33851,N
India,30/01/2021,Rabia,Infecciosa,2.74;81.45,36 - 60,Ambos,Vacunación,49395,N
Rusia,15/10/2021,Enfermedad de Parkinson,Viral,2.59;81.15,0 - 18,Masculino,Vacunación,39763,N
China,11/03/2022,Dengue,Cardiovascular,2.49;92.36,61+,Masculino,Medicación,13444,S
Japón,21/10/2020,Rabia,Viral,2.19;57.48,0 - 18,Femenino,Medicación,16977,N
Argentina,30/11/2022,Enfermedad de Alzheimer,Crónica,2.02;68.4,0 - 18,Femenino,Vacunación,21208,S
Korea del Sur,19/05/2024,Poliomielitis,Infecciosa,1.82;55.88,18+,Ambos,Cirugía,13094,N
India,22/03/2024,Zika,Cardiovascular,1.65;50.95,36 - 60,Ambos,Cirugía,46321,S
Japón,12/10/2023,Gripe,Infecciosa,1.59;65.15,19 - 35,Masculino,Terapia,18223,N
Francia,01/05/2020,Sarampión,Neurológica,1.35;75.4,0 - 18,Masculino,Medicación,14977,S
Nigeria,04/03/2022,COVID-19,Viral,1.33;96.64,36 - 60,Femenino,Terapia,46757,S
Turquía,27/01/2020,Diabetes,Genética,1.17;93.89,0 - 18,Masculino,Medicación,17462,S
Francia,10/05/2021,Dengue,Crónica,0.91;92.5,19 - 35,Masculino,Cirugía,47557,S
Argentina,19/12/2021,Lepra,Parasitaria,0.81;91.1,61+,Femenino,Medicación,35001,S
Sudáfrica,22/02/2020,Hipertensión,Neurológica,0.79;85.65,61+,Ambos,Medicación,45647,N
Reino Unido,02/04/2024,Hepatitis,Autoinmune,0.76;75.52,61+,Femenino,Vacunación,12866,S
Francia,30/10/2022,Enfermedad de Parkinson,Crónica,0.74;73.98,0 - 18,Ambos,Medicación,45501,N
Rusia,20/11/2024,Diabetes,Autoinmune,0.51;78.64,61+,Ambos,Terapia,37517,N
Argentina,18/03/2020,Enfermedad de Parkinson,Neurológica,0.3;69.3,61+,Masculino,Vacunación,7219,N
Italia,28/07/2023,Zika,Genética,0.21;69.99,36 - 60,Femenino,Vacunación,39516,N
Brasil,22/12/2021,Cólera,Viral,0.15;77.86,0 - 18,Ambos,Vacunación,3872,N
Korea del Sur,20/10/2023,Cólera,Metabólica,9.8;86.58,36 - 60,Femenino,Terapia,47950,S
Italia,09/10/2022,Cólera,Bacteriana,9.68;65.39,19 - 35,Masculino,Vacunación,32651,S
Sudáfrica,23/09/2022,Poliomielitis,Crónica,9.62;76.26,61+,Ambos,Medicación,28077,S
Korea del Sur,31/03/2022,Asma,Cardiovascular,9.57;81.44,19 - 35,Femenino,Medicación,17970,S
Turquía,20/01/2022,Enfermedad de Alzheimer,Infecciosa,9.26;71.68,19 - 35,Ambos,Terapia,38510,N
Korea del Sur,16/01/2023,Sarampión,Crónica,9.16;54.67,61+,Masculino,Cirugía,25237,S
Turquía,23/05/2020,Tuberculosis,Bacteriana,8.88;51.33,61+,Masculino,Cirugía,34909,S
Korea del Sur,11/04/2024,Lepra,Crónica,8.72;76.36,61+,Ambos,Terapia,5193,N
Korea del Sur,27/11/2020,Hepatitis,Respiratoria,8.5;95.27,0 - 18,Masculino,Terapia,2540,N
Nigeria,20/12/2022,Rabia,Crónica,8.35;94.66,0 - 18,Masculino,Vacunación,35272,S
Reino Unido,05/08/2022,Cáncer,Crónica,8.31;87.96,20+,Ambos,Medicación,35306,N
India,07/12/2023,Rabia,Neurológica,8.3;78.62,0 - 18,Ambos,Cirugía,38770,N
Arabia Saudita,04/01/2023,Tuberculosis,Crónica,8.26;88.31,35+,Masculino,Cirugía,5758,N
Brasil,18/02/2020,Dengue,Infecciosa,8.19;66.22,35+,Masculino,Cirugía,37951,S
China,12/04/2022,Cólera,Respiratoria,8.03;57.5,18+,Masculino,Cirugía,29060,N
Nigeria,06/10/2024,Cáncer,Cardiovascular,8;92.8,36 - 60,Ambos,Medicación,1064,N
Indonesia,29/06/2024,Malaria,Infecciosa,7.99;52.47,19 - 35,Femenino,Vacunación,27888,S
Canadá,02/04/2023,Cáncer,Bacteriana,7.95;96.83,0 - 18,Masculino,Terapia,35476,N
Australia,21/08/2020,Asma,Infecciosa,7.9;91.83,0 - 18,Femenino,Vacunación,18730,S
EEUU,18/03/2024,Enfermedad de Alzheimer,Respiratoria,7.9;80.92,0 - 18,Ambos,Vacunación,6524,N
EEUU,30/04/2023,Lepra,Genética,7.82;70.33,19 - 35,Ambos,Medicación,45907,N
India,23/01/2024,Tuberculosis,Respiratoria,7.62;73.09,36 - 60,Masculino,Terapia,7504,N
Indonesia,23/07/2023,Hipertensión,Parasitaria,7.55;78.72,61+,Ambos,Medicación,32268,S
Sudáfrica,07/11/2024,Gripe,Metabólica,7.44;96.61,36 - 60,Femenino,Vacunación,30740,S
Brasil,26/06/2021,COVID-19,Crónica,7.42;55.44,61+,Masculino,Medicación,44513,N
Nigeria,20/07/2024,Ébola,Autoinmune,7.38;67.18,0 - 18,Femenino,Cirugía,45698,N
Indonesia,07/08/2024,Enfermedad de Alzheimer,Crónica,7.31;98.54,61+,Masculino,Vacunación,2323,N
Rusia,10/08/2023,Enfermedad de Parkinson,Viral,7.09;66.89,61+,Ambos,Medicación,47181,S
Argentina,10/12/2021,Poliomielitis,Bacteriana,7.07;75.96,36 - 60,Ambos,Terapia,22177,S
EEUU,05/01/2023,Cólera,Respiratoria,7.01;87.52,19 - 35,Ambos,Vacunación,27274,N
Nigeria,06/05/2022,Tuberculosis,Cardiovascular,7;56.08,61+,Ambos,Medicación,28197,N
Francia,25/09/2023,Enfermedad de Alzheimer,Viral,6.9;82.02,19 - 35,Masculino,Medicación,46835,N
Alemania,25/06/2024,Enfermedad de Parkinson,Autoinmune,6.79;59.16,0 - 18,Ambos,Cirugía,27229,N
Japón,29/03/2021,Diabetes,Cardiovascular,6.77;72.07,0 - 18,Ambos,Medicación,33413,N
Sudáfrica,09/03/2021,Hepatitis,Metabólica,6.72;73.13,61+,Masculino,Terapia,47349,S
EEUU,17/02/2022,Enfermedad de Alzheimer,Infecciosa,6.71;95.77,18+,Femenino,Vacunación,23177,S
Korea del Sur,17/09/2020,Tuberculosis,Infecciosa,6.63;81.27,0 - 18,Ambos,Cirugía,40768,N
Brasil,30/03/2024,Asma,Cardiovascular,6.35;58.55,61+,Ambos,Medicación,27531,S
Sudáfrica,18/08/2023,Zika,Crónica,6.3;68.25,36 - 60,Ambos,Vacunación,12988,N
México,12/06/2022,Tuberculosis,Autoinmune,6.28;67.6,19 - 35,Femenino,Medicación,23551,S
India,19/08/2022,Cólera,Crónica,6.19;86.97,61+,Femenino,Terapia,9110,N
India,20/05/2022,Cólera,Metabólica,5.81;91.51,19 - 35,Femenino,Cirugía,20543,N
Indonesia,09/04/2021,Zika,Crónica,5.72;78.25,36 - 60,Ambos,Medicación,5021,S
Canadá,10/06/2023,Rabia,Cardiovascular,5.7;92.31,19 - 35,Masculino,Vacunación,14592,S
Turquía,09/11/2020,Poliomielitis,Respiratoria,5.49;95.8,18+,Ambos,Cirugía,29935,S
Canadá,16/07/2023,Ébola,Genética,5.38;57.08,61+,Ambos,Vacunación,25230,N
Australia,27/02/2022,Dengue,Parasitaria,5.33;54.97,61+,Femenino,Medicación,17908,N
Australia,28/07/2021,Rabia,Autoinmune,4.96;64.56,0 - 18,Ambos,Vacunación,26835,N
México,29/02/2020,Dengue,Infecciosa,4.89;73.93,35+,Masculino,Medicación,39159,N
Alemania,29/09/2020,Cólera,Neurológica,4.79;82.74,18+,Femenino,Vacunación,2914,N
Reino Unido,08/09/2020,Asma,Respiratoria,4.74;53.19,61+,Ambos,Vacunación,14083,N
Canadá,25/01/2022,Dengue,Neurológica,4.62;50.3,19 - 35,Masculino,Terapia,7171,S
Indonesia,24/09/2024,Rabia,Crónica,4.6;65.17,61+,Ambos,Cirugía,18654,N
China,03/03/2020,Tuberculosis,Metabólica,4.58;65.2,36 - 60,Femenino,Cirugía,11009,S
Australia,30/11/2023,Malaria,Cardiovascular,4.55;75.28,36 - 60,Ambos,Cirugía,12462,N
China,27/11/2022,Rabia,Infecciosa,4.52;51.93,0 - 18,Ambos,Cirugía,32606,S
Korea del Sur,08/09/2024,Lepra,Metabólica,4.4;89.46,36 - 60,Ambos,Vacunación,22602,N
Turquía,15/10/2024,Rabia,Viral,4.21;77.91,61+,Ambos,Medicación,34350,N
Australia,25/03/2022,Enfermedad de Parkinson,Cardiovascular,3.73;95.17,36 - 60,Femenino,Vacunación,28948,N
Sudáfrica,30/11/2024,Dengue,Bacteriana,3.66;91.37,61+,Ambos,Cirugía,2003,N
Argentina,09/09/2022,Hepatitis,Cardiovascular,3.51;80.02,61+,Ambos,Terapia,11189,S
Rusia,26/02/2024,Sarampión,Crónica,3.43;83.61,36 - 60,Ambos,Terapia,42375,S
Francia,13/11/2024,Cáncer,Neurológica,3.24;93.58,61+,Ambos,Vacunación,35042,S
Rusia,24/07/2024,Malaria,Genética,3.05;70.3,18+,Ambos,Vacunación,1651,S
Reino Unido,09/10/2024,Ébola,Parasitaria,2.84;70.86,36 - 60,Femenino,Medicación,22330,S
Indonesia,08/09/2021,Ébola,Infecciosa,2.46;62.84,19 - 35,Masculino,Terapia,7842,S
Reino Unido,15/05/2021,Cólera,Respiratoria,2.42;60.47,18+,Ambos,Terapia,35959,N
India,03/05/2022,COVID-19,Parasitaria,2.36;74.98,19 - 35,Femenino,Vacunación,20739,N
Nigeria,19/08/2021,Diabetes,Bacteriana,2.29;59.01,35+,Ambos,Cirugía,15768,S
Turquía,03/10/2021,Asma,Bacteriana,1.75;57.67,19 - 35,Ambos,Vacunación,1667,S
Turquía,21/12/2022,Tuberculosis,Autoinmune,1.58;65.59,35+,Ambos,Medicación,41497,S
Korea del Sur,23/01/2022,Cáncer,Infecciosa,1.48;72.64,0 - 18,Masculino,Terapia,3419,N
China,16/07/2022,VIH/SIDA,Bacteriana,1.47;83.29,36 - 60,Ambos,Vacunación,43312,S
México,18/11/2024,VIH/SIDA,Respiratoria,1.39;81.03,61+,Masculino,Cirugía,27201,S
Italia,08/02/2024,COVID-19,Autoinmune,1.38;64,0 - 18,Femenino,Medicación,26372,N
EEUU,20/01/2022,Dengue,Neurológica,0.99;77.54,0 - 18,Femenino,Cirugía,12450,N
